Punch ID,Task Number,Punch,Type Of Punch,Punch Status,RevisionDate,RevisionNumber,Item,ItemType,Disc,Form Type,PrvPunchId
314,AX017087,شیرینگ حرارتی و فلکسیبل فیکس شود.شیشه پروتکشن باکس شکسته است.,3,0,02:16.2,0,FT-E14,FLOW_TRANS,IN,CJX00,NULL
315,AX017086,شیرینگ حرارتی و فلکسیبل فیکس شود.,3,0,02:44.3,0,FT-D08,FLOW_TRANS,IN,CJX00,NULL
317,AX017082,شیرینگ حرارتی و فلکسیبل فیکس شود.,3,0,03:00.0,0,FT-M08.2,FLOW_TRANS,IN,CJX00,NULL
318,AX017080,شیرینگ حرارتی و فلکسیبل فیکس شود.,3,0,03:06.7,0,FT-M08.3,FLOW_TRANS,IN,CJX00,NULL
319,AX017083,شیرینگ حرارتی و فلکسیبل فیکس شود.,3,0,03:19.1,0,FT-M08.1,FLOW_TRANS,IN,CJX00,NULL
320,AX017085,شیرینگ حرارتی و فلکسیبل فیکس شود.,3,0,04:35.4,0,FT-M15,FLOW_TRANS,IN,CJX00,NULL
321,AX017050,شیرینگ حرارتی و فلکسیبل فیکس شود.,3,0,08:04.3,0,FT-E16,FLOW_TRANS,IN,CJX00,NULL
322,AX017084,شیرینگ حرارتی و فلکسیبل فیکس شود.,3,0,50:07.9,0,FT-M07,FLOW_TRANS,IN,CJX00,NULL
323,AX017020,شیرینگ حرارتی و فلکسیبل فیکس شود.,3,0,10:20.4,0,FT-D14,FLOW_TRANS,IN,CJX00,NULL
328,AX017089,شیرینگ حرارتی و فلکسیبل فیکس شود.,3,0,11:14.1,0,FT-A82.2,FLOW_TRANS,IN,CJX00,NULL
329,AX017078,شیرینگ حرارتی و فلکسیبل فیکس شود.,3,0,11:46.0,0,PT-A45.1,PRESS_TRANS,IN,CJX00,NULL
332,AX017079,شیرینگ حرارتی و فلکسیبل فیکس شود.,3,0,11:52.1,0,FT-B66,FLOW_TRANS,IN,CJX00,NULL
338,AX017090,شیرینگ حرارتی و فلکسیبل فیکس شود.,3,0,13:01.1,0,FT-A82.3,FLOW_TRANS,IN,CJX00,NULL
340,AX016978,شیرینگ حرارتی و فلکسیبل فیکس شود.,3,0,13:18.3,0,FT-M72A,FLOW_TRANS,IN,CJX00,NULL
341,AX017088,شیرینگ حرارتی و فلکسیبل فیکس شود.,3,0,13:27.3,0,FT-A82.1,FLOW_TRANS,IN,CJX00,NULL
352,AX017109,شیرینگ حرارتی و فلکسیبل فیکس شود.ساپورت برای تیوپ زده نشده است.,3,0,17:47.0,0,PDT-D43,DIFF_PRESS_TRANS,IN,CJX00,NULL
353,AX017008,شیرینگ حرارتی و فلکسیبل فیکس شود.دسته پروتکشن باکس شکسته است. تیوپ کاری و کابل کشی ناقص است,3,0,17:49.2,0,PT-A56,PRESS_TRANS,IN,CJX00,NULL
355,AX017091,شیرینگ حرارتی و فلکسیبل فیکس شود.,3,0,17:52.8,0,FT-A82.4,FLOW_TRANS,IN,CJX00,NULL
356,AX017162,شیرینگ حرارتی و فلکسیبل فیکس شود.,3,0,47:48.2,0,PDT-A42,DIFF_PRESS_TRANS,IN,CJX00,NULL
357,AX017047,شیرینگ حرارتی و فلکسیبل فیکس شود.ساپورت برای تیوپ زده نشده است.,3,0,47:55.2,0,PT-B70,PRESS_TRANS,IN,CJX00,NULL
358,AX017054,شیرینگ حرارتی و فلکسیبل فیکس شود.,3,0,48:44.3,0,PT-B08.2,PRESS_TRANS,IN,CJX00,NULL
359,AX017053,شیرینگ حرارتی و فلکسیبل فیکس شود.,3,0,50:20.5,0,PT-B08.1,PRESS_TRANS,IN,CJX00,NULL
360,AX017158,شیرینگ حرارتی و فلکسیبل فیکس شود.,3,0,51:50.9,0,PT-A11,PRESS_TRANS,IN,CJX00,NULL
361,AX017019,شیرینگ حرارتی و فلکسیبل فیکس شود.,3,0,51:53.2,0,FT-A59,FLOW_TRANS,IN,CJX00,NULL
362,AX017021,شیرینگ حرارتی و فلکسیبل فیکس شود.,3,0,51:53.3,0,FT-D28,FLOW_TRANS,IN,CJX00,NULL
363,AX017157,شیرینگ حرارتی و فلکسیبل فیکس شود.پروتکشن باکس سیل نیست.,3,0,51:57.0,0,FT-A18,FLOW_TRANS,IN,CJX00,NULL
364,AX017026,شیرینگ حرارتی و فلکسیبل فیکس شود.,3,0,52:09.5,0,FT-D24,FLOW_TRANS,IN,CJX00,NULL
365,AX017057,شیرینگ حرارتی و فلکسیبل فیکس شود.,3,0,50:51.8,0,FT-E17,FLOW_TRANS,IN,CJX00,NULL
366,AX017055,شیرینگ حرارتی و فلکسیبل فیکس شود.پروتکشن باکس سیل نمیباشد.,3,0,50:51.8,0,FT-A80,FLOW_TRANS,IN,CJX00,NULL
367,AX017018,شیرینگ حرارتی و فلکسیبل فیکس شود.,3,0,50:59.9,0,PDT-D44.2,DIFF_PRESS_TRANS,IN,CJX00,NULL
368,AX017009,شیرینگ حرارتی و فلکسیبل فیکس شود.,3,0,51:30.4,0,FT-B06.2,FLOW_TRANS,IN,CJX00,NULL
369,AX017023,شیرینگ حرارتی و فلکسیبل فیکس شود.,3,0,52:04.9,0,PDT-D44.1,DIFF_PRESS_TRANS,IN,CJX00,NULL
370,AX017056,شیرینگ حرارتی و فلکسیبل فیکس شود.,3,0,52:46.2,0,FT-E19,FLOW_TRANS,IN,CJX00,NULL
371,AX017042,شیرینگ حرارتی و فلکسیبل فیکس شود.,3,0,15:21.1,0,FT-M06,FLOW_TRANS,IN,CJX00,NULL
372,AX017043,شیرینگ حرارتی و فلکسیبل فیکس شود.,3,0,15:26.4,0,PDT-D54.1,DIFF_PRESS_TRANS,IN,CJX00,NULL
373,AX017028,شیرینگ حرارتی و فلکسیبل فیکس شود.,3,0,15:36.9,0,PT-P14,PRESS_TRANS,IN,CJX00,NULL
374,AX017052,شیرینگ حرارتی و فلکسیبل فیکس شود.,3,0,15:37.0,0,FT-E09,FLOW_TRANS,IN,CJX00,NULL
375,AX017037,شیرینگ حرارتی و فلکسیبل فیکس شود.,3,0,16:20.4,0,FT-M17,FLOW_TRANS,IN,CJX00,NULL
376,AX017044,شیرینگ حرارتی و فلکسیبل فیکس شود.,3,0,16:39.9,0,PDT-D54.3,DIFF_PRESS_TRANS,IN,CJX00,NULL
377,AX017038,شیرینگ حرارتی و فلکسیبل فیکس شود.,3,0,17:17.9,0,PDT-D54.2,DIFF_PRESS_TRANS,IN,CJX00,NULL
379,AX017058,شیرینگ حرارتی و فلکسیبل فیکس شود.,3,0,17:23.3,0,FT-E60,FLOW_TRANS,IN,CJX00,NULL
380,AX017058,دسته پروتکشن باکس شکسته است.,3,0,17:23.3,0,FT-E60,FLOW_TRANS,IN,CJX00,NULL
383,AX017073,گیج رگولاتور کنترل ولو شکسته است.,2,0,17:31.6,0,FV-E60,VALV_CONTROL,IN,CJX23,NULL
384,AX017049,شیرینگ حرارتی و فلکسیبل فیکس شود.,3,0,17:35.7,0,FT-E13,FLOW_TRANS,IN,CJX00,NULL
385,AX017048,شیرینگ حرارتی و فلکسیبل فیکس شود.,3,0,17:43.7,0,FT-E02.3,FLOW_TRANS,IN,CJX00,NULL
386,AX017040,شیرینگ حرارتی و فلکسیبل فیکس شود.,3,0,18:30.3,0,FT-M16.1,FLOW_TRANS,IN,CJX00,NULL
387,AX017036,شیرینگ حرارتی و فلکسیبل فیکس شود.,3,0,18:54.4,0,FT-M16.3,FLOW_TRANS,IN,CJX00,NULL
388,AX017039,شیرینگ حرارتی و فلکسیبل فیکس شود.,3,0,19:04.0,0,FT-M16.2,FLOW_TRANS,IN,CJX00,NULL
389,AX017081,شیرینگ حرارتی و فلکسیبل فیکس شود.,3,0,21:30.0,0,FT-M09,FLOW_TRANS,IN,CJX00,NULL
392,AX017041,شیرینگ حرارتی و فلکسیبل فیکس شود.,3,0,51:31.0,0,FT-D30,FLOW_TRANS,IN,CJX00,NULL
393,AX165387,شیرینگ حرارتی و فلکسیبل فیکس شود.,3,0,04:36.8,0,LT-M91,ULTRASONIC,IN,CJX00,NULL
394,AX163245,شیرینگ حرارتی و فلکسیبل فیکس شود.,3,0,04:36.8,0,LT-E07.1,ULTRASONIC,IN,CJX00,NULL
